Artist,Genre,Artist_uri,Artist_id,Followers
Oh Wonder,indie,spotify:artist:5cIc3SBFuBLVxJz58W2tU9,5cIc3SBFuBLVxJz58W2tU9,724888
Amin,indie,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ,3Gm5F95VdRxW3mqCn8RPBJ,703382
Grouplove,indie,spotify:artist:3kVUvbeRdcrqQ3oHk5hPdx,3kVUvbeRdcrqQ3oHk5hPdx,673814
Jorja Smith,indie,spotify:artist:1CoZyIx7UvdxT5c8UkMzHd,1CoZyIx7UvdxT5c8UkMzHd,636448
The Avett Brothers,indie,spotify:artist:196lKsA13K3keVXMDFK66q,196lKsA13K3keVXMDFK66q,624397
Rex Orange County,indie,spotify:artist:7pbDxGE6nQSZVfiFdq9lOL,7pbDxGE6nQSZVfiFdq9lOL,623075
BROCKHAMPTON,indie,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA,1Bl6wpkWCQ4KVgnASpvzzA,617713
The Head and the Heart,indie,spotify:artist:0n94vC3S9c3mb2HyNAOcjg,0n94vC3S9c3mb2HyNAOcjg,612740
BRNS,indie,spotify:artist:1KP6TWI40m7p3QBTU6u2xo,1KP6TWI40m7p3QBTU6u2xo,585832
EDEN,indie,spotify:artist:1t20wYnTiAT0Bs7H1hv9Wt,1t20wYnTiAT0Bs7H1hv9Wt,511645
Kali Uchis,indie,spotify:artist:1U1el3k54VvEUzo3ybLPlM,1U1el3k54VvEUzo3ybLPlM,490399
Kiiara,indie,spotify:artist:4u5smJBskI6Adzv08PuiUP,4u5smJBskI6Adzv08PuiUP,486372
Two Feet,indie,spotify:artist:5sWHDYs0csV6RS48xBl0tH,5sWHDYs0csV6RS48xBl0tH,449641
Lord Huron,indie,spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25,6ltzsmQQbmdoHHbLZ4ZN25,429521
Olivia O'Brien,indie,spotify:artist:1QRj3hoop9Mv5VvHQkwPEp,1QRj3hoop9Mv5VvHQkwPEp,424519
Alina Baraz,indie,spotify:artist:6hfwwpXqZPRC9CsKI7qtv1,6hfwwpXqZPRC9CsKI7qtv1,419600
