Genre,Artist,Artist_id,Song,Song_id,Audio_Metric
['pop'],The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Can't Feel My Face,22VdIZQfgXJea34mQxlt81,"[0.59, 0.77, 0.7]"
['pop'],The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Earned It (Fifty Shades Of Grey),4frLb7nWtsz2ymBE6k2GRP,"[0.4, 0.29, 0.65]"
['pop'],The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Love Me Harder,5J4ZkQpzMUFojo1CtAZYpn,"[0.24, 0.71, 0.47]"
['pop'],The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Die For You,2LBqCSwhJGcFQeTHMVGwy3,"[0.51, 0.53, 0.59]"
['pop'],The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Wasted Times,72TyiiduRmczEbDIEtKQdR,"[0.29, 0.67, 0.56]"
['pop'],Kanye West,5K4W6rqBFWDnAN6FQUkS6x,I Love It (& Lil Pump),4S8d14HvHb70ImctNgVzQQ,"[0.33, 0.52, 0.9]"
['pop'],Kanye West,5K4W6rqBFWDnAN6FQUkS6x,FourFiveSeconds,78TTtXnFQPzwqlbtbwqN0y,"[0.33, 0.27, 0.58]"
['pop'],Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Gold Digger,1PS1QMdUqOal0ai3Gt7sDQ,"[0.66, 0.7, 0.64]"
['pop'],Kanye West,5K4W6rqBFWDnAN6FQUkS6x,POWER,2gZUPNdnz5Y45eiGxpHGSc,"[0.58, 0.92, 0.54]"
['pop'],Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Stronger,6C7RJEIUDqKkJRZVWdkfkH,"[0.48, 0.73, 0.63]"
['pop'],Kanye West,5K4W6rqBFWDnAN6FQUkS6x,All Mine,3U21A07gAloCc4P7J8rxcn,"[0.29, 0.31, 0.93]"
['pop'],Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Black Skinhead,722tgOgdIbNe3BEyLnejw4,"[0.27, 0.82, 0.78]"
['pop'],Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Heartless,4EWCNWgDS8707fNSZ1oaA5,"[0.62, 0.65, 0.79]"
['pop'],Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Ni**as In Paris,2KpCpk6HjXXLb7nnXoXA5O,"[0.68, 0.88, 0.76]"
['pop'],Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Famous,19a3JfW8BQwqHWUMbcqSx8,"[0.4, 0.74, 0.47]"
['pop'],Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,XO TOUR Llif3,7GX5flRQZVHRAGd6B4TmDO,"[0.4, 0.75, 0.73]"
['pop'],Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,New Patek,0Fpen1PTuEnCmOJtUU9Iud,"[0.72, 0.79, 0.85]"
['pop'],Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,The Way Life Goes (feat. Oh Wonder),2eAZfqOm4EnOF9VvN50Tyc,"[0.7, 0.76, 0.7]"
['pop'],Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,Money Longer,0B8QzDH7YWih85V5SEMnyJ,"[0.48, 0.57, 0.8]"
['pop'],Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,Watch (feat. Lil Uzi Vert & Kanye West),3DoBTwfr8yi2LN08SBpFkN,"[0.25, 0.56, 0.71]"
['pop'],Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,Sauce It Up,1uL78kFWxhz3umTMWJu8n5,"[0.13, 0.53, 0.81]"
['pop'],Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,Dark Queen,2ZdCrBA52bb4pIG3tOOZiQ,"[0.2, 0.61, 0.75]"
['pop'],Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,Erase Your Social,4uhvMW7ly7tJil31YYscAN,"[0.72, 0.61, 0.7]"
['pop'],Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,You Was Right,2ANLarE8yHVsLWW21nj79M,"[0.16, 0.36, 0.84]"
['pop'],Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,20 Min,0uxSUdBrJy9Un0EYoBowng,"[0.78, 0.75, 0.77]"
['pop'],Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Perfect,0tgVpDi06FyKpA1z0VMD4v,"[0.17, 0.45, 0.6]"
['pop'],Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Shape of You,7qiZfU4dY1lWllzX7mPBI3,"[0.93, 0.65, 0.82]"
['pop'],Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Happier,2RttW7RAu5nOAfq6YFvApB,"[0.24, 0.39, 0.52]"
['pop'],Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Photograph,6fxVffaTuwjgEk5h9QyRjy,"[0.2, 0.38, 0.61]"
