Artist,Artist_id,ArtistColab,ArtistColab_id,Song,Song_id
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Andrea Bocelli,3EA9hVIzKfFiQI0Kikz2wo,E pi ti penso (Duetto con Ariana Grande),0sTo2iCsuIOV3QjvIIJIbe
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Liz Gillies,7pLntWGInZPQxc4kXxzzjB,Santa Baby,3cfjS1CcNwSj0VqBfecnGN
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Brynn Williams,1hnnj2WandO6I4kQCqS3ct,Brand New You (feat. Brynn Williams & Caitlin Gann),1magKwGDsyU3RGjpo0BfPe
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Caitlin Gann,5Wy5gqWzDpWspwIYLokJY5,Brand New You (feat. Brynn Williams & Caitlin Gann),1magKwGDsyU3RGjpo0BfPe
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Graham Phillips,7cx3SW07K49VaNuC71o4vj,A Little More Homework (feat. Graham Phillips) - Single Version,5RNKIGhRllNHGjroVDPXat
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Love Me Harder,5Sfc6Vl1S82N0dLKi0iUO4
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Jessie J,2gsggkzM5R49q6jpPvazou,Bang Bang - Dada Life Remix,3xe9TivPTTpAx6J9gU5U0r
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Bang Bang - Dada Life Remix,3xe9TivPTTpAx6J9gU5U0r
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Dada Life,00sAT5YX8W3xNd1EuqyHw9,Bang Bang - Dada Life Remix,3xe9TivPTTpAx6J9gU5U0r
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Jessie J,2gsggkzM5R49q6jpPvazou,Bang Bang - Kat Krazy Extended Mix,7hvsluuSYKhm5Z9kHZbVC9
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Bang Bang - Kat Krazy Extended Mix,7hvsluuSYKhm5Z9kHZbVC9
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Kat Krazy,60PKQFvtGXaQWYfVixrrDk,Bang Bang - Kat Krazy Extended Mix,7hvsluuSYKhm5Z9kHZbVC9
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Jessie J,2gsggkzM5R49q6jpPvazou,Bang Bang - 3LAU Extended Mix,0u3DTzhiksPtZADerkFKcO
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Bang Bang - 3LAU Extended Mix,0u3DTzhiksPtZADerkFKcO
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3LAU,4YLQaW1UU3mrVetC8gNkg5,Bang Bang - 3LAU Extended Mix,0u3DTzhiksPtZADerkFKcO
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Jessie J,2gsggkzM5R49q6jpPvazou,Bang Bang - Imanos & Gramercy Remix,4dmV2gPpMDF9CtXJBSS3Vm
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Bang Bang - Imanos & Gramercy Remix,4dmV2gPpMDF9CtXJBSS3Vm
